callsign,velocity,baro_altitude,geo_altitude
QTR40N  ,320.49,10668.0,10965.18
QFA940  ,309.32,11277.6,11529.06
T7KFL   ,286.98,11887.2,12306.3
QTR744  ,285.72,11887.2,12123.42
ETD78G  ,285.53,11269.98,11780.52
ETD79H  ,284.13,11887.2,12534.9
NBT31W  ,283.95,11269.98,11635.74
DCW202  ,283.48,12489.18,13129.26
ETD108  ,282.23,11277.6,11978.64
PPNVI   ,281.95,12496.8,13037.82
AAE105  ,281.26,11887.2,12641.58
UPS76   ,281.04,9448.8,9982.2
QTR34C  ,280.99,11269.98,12016.74
CHH438  ,280.5,11277.6,11765.28
GEC8410 ,280.37,11887.2,12626.34
ETD26W  ,280.13,11269.98,11948.16
N720LE  ,279.75,12496.8,12984.48
UPS9    ,279.37,9753.6,10439.4
FDX4    ,279.21,10668.0,11186.16
AZV3010 ,279.14,10668.0,11308.08
THY8JK  ,278.72,11887.2,12115.8
AEA056  ,278.34,11887.2,12519.66
DHK705  ,277.53,9448.8,9989.82
RBA1    ,277.34,13098.78,13952.22
SVA110  ,276.94,10058.4,10530.84
KAL035  ,275.81,11277.6,11666.22
ANZ200  ,275.28,10050.78,10256.52
UAL90   ,275.24,11269.98,11711.94
QTR33L  ,275.19,11894.82,12412.98
GTI538  ,275.11,9448.8,9745.98
TKJ8EW  ,275.08,9677.4,10294.62
KZR216  ,274.74,10668.0,11376.66
BAW198  ,274.7,10363.2,11109.96
TKJ2JM  ,274.52,10668.0,11399.52
UAL1735 ,274.33,11277.6,11772.9
KLM844  ,273.89,10972.8,11780.52
NOS1421 ,273.81,12192.0,12748.26
SIA365  ,273.81,10728.96,11102.34
AAL126  ,273.78,12496.8,13083.54
UAE414  ,273.6,12496.8,12580.62
UAL164  ,273.56,10058.4,10568.94
QTR756  ,273.52,11887.2,12672.06
N43SF   ,273.48,11277.6,11932.92
FDX34   ,273.33,10668.0,11117.58
SMB355  ,272.96,12504.42,13159.74
LOT1719 ,272.77,11277.6,11993.88
AEA094  ,272.58,10355.58,10927.08
ELY106  ,272.47,11269.98,11597.64
UAE220  ,272.33,10668.0,11049.0
SAA040  ,272.28,9753.6,10317.48
NCA004  ,272.27,9296.4,9906.0
BAW65   ,271.92,11277.6,11772.9
AIC143  ,271.85,11574.78,12428.22
MSR682  ,271.16,9547.86,10226.04
FJO97   ,271.12,13106.4,13655.04
UAL125  ,270.77,11574.78,11963.4
DKH1655 ,270.66,9174.48,9799.32
AIC2017 ,270.64,10965.18,11765.28
QTR83N  ,270.58,10668.0,11155.68
THT7    ,270.53,10050.78,10447.02
Unknown,270.43,10058.4,10660.38
QTR17X  ,270.43,12489.18,13144.5
CKS502  ,270.35,10972.8,11315.7
UPS80   ,270.23,11582.4,12092.94
CSN5217 ,270.19,9448.8,10058.4
ICE342  ,270.03,9707.88,9784.08
UAE256  ,270.0,12192.0,12740.64
FDX38   ,269.79,10668.0,11231.88
N40NS   ,269.58,13106.4,13472.16
FDX9737 ,269.57,10668.0,11140.44
AFR828  ,269.45,11887.2,12405.36
UAE25K  ,269.38,11277.6,11742.42
WMN807  ,269.26,13716.0,14119.86
THY4YT  ,269.08,12496.8,12870.18
Unknown,269.08,9105.9,9601.2
PSCRD   ,269.07,8229.6,8694.42
AAL907  ,269.03,9745.98,10027.92
AFR30X  ,268.98,10972.8,11292.84
AFR181  ,268.83,10972.8,11811.0
UAE7CN  ,268.74,11277.6,11750.04
HLJ102  ,268.72,10363.2,11033.76
ATN3310 ,268.55,10668.0,11285.22
SIO801  ,268.54,12496.8,13098.78
ETD47   ,268.4,8572.5,9182.1
CKS369  ,268.36,10363.2,10858.5
DLH454  ,268.28,9144.0,9555.48
ELY026  ,268.04,11277.6,12047.22
BAW6    ,268.04,11277.6,11262.36
RJA264  ,267.87,12489.18,12938.76
ETD6HZ  ,267.81,11887.2,12313.92
AFR004  ,267.68,10363.2,10728.96
UPS972  ,267.67,11590.02,12070.08
QTR63F  ,267.61,11879.58,12443.46
UAL1731 ,267.58,11887.2,12595.86
CGGVI   ,267.57,13106.4,13929.36
BBC343  ,267.54,11170.92,11925.3
AAL21   ,267.52,9753.6,10111.74
UAE74W  ,267.46,11277.6,11765.28
SIA12   ,267.45,9448.8,10088.88
KLM661  ,267.39,10363.2,10767.06
ETD36V  ,267.37,11277.6,11711.94
QQE990  ,267.36,13106.4,14043.66
ASA109  ,267.26,10668.0,11033.76
