icao24,callsign,velocity,baro_altitude,geo_altitude,vertical_rate
ad68d3,TWY99   ,167.07,3992.88,4046.22,29.91
aa7c1b,FDX1727 ,145.07,1920.24,1988.82,25.36
861f3c,ANA268  ,130.46,2118.36,2240.28,24.38
8963b2,FDB2PM  ,201.26,5486.4,5753.1,22.43
4cadd0,AYN7352 ,189.1,6126.48,6210.3,20.81
4d226a,RYR363U ,155.36,2758.44,2933.7,20.48
7c4325,NJR     ,93.29,3017.52,3192.78,20.48
a5aa47,UPS9853 ,151.79,3063.24,3177.54,20.48
40780d,BAW61XM ,190.38,5151.12,5455.92,20.48
485871,KLM1921 ,139.14,1783.08,1912.62,19.51
40762c,NPT327F ,201.55,6065.52,6316.98,19.51
ad3006,EJA949  ,132.64,1912.62,2011.68,19.18
406531,BAW42DB ,132.74,1051.56,1173.48,19.18
a5b1a8,UAL220  ,193.26,4632.96,4922.52,18.86
a0c238,UPS9824 ,111.12,2072.64,2118.36,18.86
ac096a,FDX6014 ,260.6,9410.7,9494.52,18.53
aa7df3,SWA2809 ,177.11,4267.2,4465.32,18.53
0acaaa,AVA260  ,132.26,2026.92,2133.6,17.88
a997bd,N717TF  ,124.41,1463.04,1524.0,17.88
4ca61f,RYR76TD ,137.66,2750.82,2895.6,17.88
a34199,ENY3667 ,80.02,312.42,335.28,17.56
880c43,AIQ3227 ,180.26,4320.54,4526.28,17.56
a26b4a,ENY3818 ,141.86,1531.62,1615.44,17.23
a50549,RPA4532 ,143.86,2263.14,2400.3,17.23
8880f1,Unknown,146.06,1455.42,1424.94,16.91
a06860,N125XP  ,103.32,1196.34,1226.82,16.91
aaf0ce,Unknown,138.99,9105.9,9601.2,16.91
80149c,IGO77W  ,146.57,1950.72,1882.14,16.91
86e808,JAL95   ,131.13,1714.5,1844.04,16.58
895056,RBA423  ,201.41,4511.04,4785.36,16.58
4baa76,THY8LT  ,146.49,2697.48,2788.92,16.58
39ceab,TVF66ER ,175.86,3970.02,4191.0,16.58
e49ef1,GLO1210 ,156.46,3794.76,3992.88,16.58
3c4dd5,DLH99F  ,177.15,3581.4,3756.66,16.58
abcf15,JRT60   ,212.76,7749.54,8237.22,16.26
c01860,JZA632  ,171.18,3634.74,3794.76,16.26
4baac4,THY1WP  ,186.16,4251.96,4434.84,16.26
a9903a,SKW4906 ,139.38,1676.4,1767.84,15.93
851186,JAL3919 ,188.25,3954.78,4221.48,15.93
846444,JAL328  ,178.61,6126.48,6537.96,15.93
75010a,AXM6314 ,140.78,2842.26,2987.04,15.61
71bf50,JNA304  ,184.84,4953.0,5189.22,15.61
86d906,ANA37   ,142.22,1813.56,1950.72,15.61
c051ec,NOJ605  ,175.34,4320.54,4518.66,15.61
4951d4,TAP1902 ,143.25,2552.7,2758.44,15.61
a3685d,JANET11 ,143.74,1905.0,1981.2,15.61
3c65c1,DLH895  ,181.55,4206.24,4335.78,15.61
